"Airline","Month","Departure_Hour","Total_Flights","Average_Departure_Delay","Average_Arrival_Delay","Total_Departure_Delay_Time","Total_Arrival_Delay_Time"
Alaska Airlines Inc.,1,0,32,-1.75,-17.06,90.0,64.0
Alaska Airlines Inc.,1,1,34,-0.15,-5.50,166.0,148.0
Alaska Airlines Inc.,1,2,15,4.60,1.33,149.0,153.0
Alaska Airlines Inc.,1,3,5,21.60,20.60,121.0,115.0
Alaska Airlines Inc.,1,4,1,-6.00,-16.00,0.0,0.0
Alaska Airlines Inc.,1,5,67,-6.07,-7.10,108.0,188.0
Alaska Airlines Inc.,1,6,530,-0.46,-3.15,3161.0,4012.0
Alaska Airlines Inc.,1,7,784,0.32,-2.93,4893.0,6280.0
Alaska Airlines Inc.,1,8,676,4.10,3.36,6245.0,7828.0
Alaska Airlines Inc.,1,9,569,4.58,1.27,5495.0,6592.0
Alaska Airlines Inc.,1,10,494,4.91,2.30,4947.0,5597.0
Alaska Airlines Inc.,1,11,579,4.47,1.42,5526.0,6324.0
Alaska Airlines Inc.,1,12,425,4.40,1.21,4098.0,4606.0
Alaska Airlines Inc.,1,13,458,4.67,0.74,4659.0,4810.0
Alaska Airlines Inc.,1,14,420,3.69,1.03,3628.0,4165.0
Alaska Airlines Inc.,1,15,559,6.96,3.90,6914.0,7093.0
Alaska Airlines Inc.,1,16,426,7.63,3.92,5577.0,5976.0
Alaska Airlines Inc.,1,17,694,7.43,4.37,8835.0,9837.0
Alaska Airlines Inc.,1,18,552,6.35,1.64,6326.0,6522.0
Alaska Airlines Inc.,1,19,546,6.41,2.87,6675.0,7021.0
Alaska Airlines Inc.,1,20,280,6.34,4.39,3524.0,3831.0
Alaska Airlines Inc.,1,21,320,8.99,5.26,4075.0,4145.0
Alaska Airlines Inc.,1,22,136,4.02,1.00,1324.0,1529.0
Alaska Airlines Inc.,1,23,219,3.92,-1.53,1940.0,1910.0
Alaska Airlines Inc.,2,0,32,3.56,-5.41,246.0,235.0
Alaska Airlines Inc.,2,1,19,-0.21,-8.00,98.0,78.0
Alaska Airlines Inc.,2,2,23,6.48,-3.91,226.0,146.0
Alaska Airlines Inc.,2,3,5,0.40,-8.80,18.0,21.0
Alaska Airlines Inc.,2,4,6,-8.17,-4.00,5.0,21.0
Alaska Airlines Inc.,2,5,58,-5.81,-3.84,115.0,313.0
Alaska Airlines Inc.,2,6,477,-2.40,-4.83,1983.0,2956.0
Alaska Airlines Inc.,2,7,745,2.55,-0.23,6083.0,8142.0
Alaska Airlines Inc.,2,8,670,3.99,3.41,6283.0,8277.0
Alaska Airlines Inc.,2,9,479,4.30,0.30,4387.0,4924.0
Alaska Airlines Inc.,2,10,522,9.75,8.30,7516.0,8409.0
Alaska Airlines Inc.,2,11,511,5.85,2.48,5347.0,5800.0
Alaska Airlines Inc.,2,12,400,6.54,5.18,4781.0,5425.0
Alaska Airlines Inc.,2,13,429,6.06,3.58,5050.0,5792.0
Alaska Airlines Inc.,2,14,394,6.71,5.46,4558.0,5906.0
Alaska Airlines Inc.,2,15,528,7.59,4.33,6584.0,7080.0
Alaska Airlines Inc.,2,16,375,6.43,2.82,4491.0,4656.0
Alaska Airlines Inc.,2,17,674,6.54,2.38,8406.0,9100.0
Alaska Airlines Inc.,2,18,496,8.53,5.27,6681.0,7242.0
Alaska Airlines Inc.,2,19,537,6.75,6.20,6571.0,7823.0
Alaska Airlines Inc.,2,20,275,3.52,2.59,2728.0,3211.0
Alaska Airlines Inc.,2,21,274,10.47,8.15,3728.0,4374.0
Alaska Airlines Inc.,2,22,142,6.84,4.87,1738.0,2066.0
Alaska Airlines Inc.,2,23,199,4.28,1.80,1784.0,2231.0
Alaska Airlines Inc.,3,0,42,-1.38,-10.43,162.0,117.0
Alaska Airlines Inc.,3,1,27,0.15,-7.67,133.0,54.0
Alaska Airlines Inc.,3,2,21,-3.71,-4.67,89.0,141.0
Alaska Airlines Inc.,3,3,5,-11.20,-24.40,0.0,0.0
Alaska Airlines Inc.,3,4,7,-8.14,-2.57,7.0,36.0
Alaska Airlines Inc.,3,5,97,-4.19,-4.69,216.0,355.0
Alaska Airlines Inc.,3,6,552,-1.96,-3.71,2301.0,3325.0
Alaska Airlines Inc.,3,7,851,-2.18,-5.38,3066.0,4674.0
Alaska Airlines Inc.,3,8,720,2.05,1.17,5163.0,7054.0
Alaska Airlines Inc.,3,9,556,1.40,-2.61,3472.0,4374.0
Alaska Airlines Inc.,3,10,546,6.60,3.58,6204.0,6568.0
Alaska Airlines Inc.,3,11,573,4.68,0.49,5312.0,5498.0
Alaska Airlines Inc.,3,12,485,3.66,-0.63,4253.0,4151.0
Alaska Airlines Inc.,3,13,526,4.48,-0.38,5004.0,4715.0
Alaska Airlines Inc.,3,14,440,5.80,-0.15,4810.0,4503.0
Alaska Airlines Inc.,3,15,576,2.68,-1.17,4626.0,4922.0
Alaska Airlines Inc.,3,16,445,5.17,0.51,4668.0,4725.0
Alaska Airlines Inc.,3,17,728,4.10,-0.84,6786.0,7123.0
Alaska Airlines Inc.,3,18,603,6.27,3.11,6567.0,7253.0
Alaska Airlines Inc.,3,19,528,5.68,1.81,5878.0,6028.0
Alaska Airlines Inc.,3,20,334,1.75,-3.02,2597.0,2655.0
Alaska Airlines Inc.,3,21,372,6.82,2.10,3810.0,3584.0
Alaska Airlines Inc.,3,22,189,6.71,1.67,2099.0,2217.0
Alaska Airlines Inc.,3,23,184,1.73,-2.59,1082.0,1157.0
Alaska Airlines Inc.,4,0,42,-2.81,-5.95,118.0,298.0
Alaska Airlines Inc.,4,1,26,-2.77,-2.62,73.0,112.0
Alaska Airlines Inc.,4,2,20,-0.50,-7.20,70.0,63.0
Alaska Airlines Inc.,4,3,7,-3.29,-3.14,32.0,57.0
Alaska Airlines Inc.,4,4,1,-8.00,-30.00,0.0,0.0
Alaska Airlines Inc.,4,5,69,-1.51,-4.35,394.0,449.0
Alaska Airlines Inc.,4,6,447,-2.35,-6.28,1497.0,1963.0
Alaska Airlines Inc.,4,7,760,0.41,-4.42,4457.0,5566.0
Alaska Airlines Inc.,4,8,598,0.55,-2.39,3411.0,4408.0
Alaska Airlines Inc.,4,9,440,6.38,1.65,4788.0,4879.0
Alaska Airlines Inc.,4,10,485,4.44,1.73,4736.0,5460.0
Alaska Airlines Inc.,4,11,514,2.80,-1.22,4067.0,4704.0
Alaska Airlines Inc.,4,12,375,2.65,-2.17,2838.0,2961.0
Alaska Airlines Inc.,4,13,395,4.87,0.09,3867.0,3762.0
Alaska Airlines Inc.,4,14,380,6.05,3.16,4059.0,4115.0
Alaska Airlines Inc.,4,15,478,7.25,4.00,5556.0,5724.0
Alaska Airlines Inc.,4,16,343,4.58,-0.20,3361.0,3528.0
Alaska Airlines Inc.,4,17,628,6.03,1.18,7141.0,7580.0
Alaska Airlines Inc.,4,18,466,9.05,5.35,6363.0,6857.0
Alaska Airlines Inc.,4,19,493,6.56,3.34,5774.0,5786.0
Alaska Airlines Inc.,4,20,309,4.48,1.84,3336.0,3488.0
Alaska Airlines Inc.,4,21,295,6.12,2.46,2857.0,3097.0
Alaska Airlines Inc.,4,22,156,5.41,1.40,1436.0,1598.0
Alaska Airlines Inc.,4,23,141,4.62,-1.57,1182.0,1149.0
Alaska Airlines Inc.,5,0,54,1.65,-0.67,415.0,532.0
Alaska Airlines Inc.,5,1,18,3.89,-3.72,169.0,118.0
Alaska Airlines Inc.,5,2,18,-4.17,-4.61,48.0,55.0
Alaska Airlines Inc.,5,3,5,-11.00,-19.40,0.0,0.0
Alaska Airlines Inc.,5,4,3,-7.33,1.00,0.0,23.0
Alaska Airlines Inc.,5,5,71,-3.65,-6.70,251.0,343.0
Alaska Airlines Inc.,5,6,534,-1.49,-4.85,2345.0,2801.0
Alaska Airlines Inc.,5,7,835,-0.16,-4.72,4060.0,4970.0
Alaska Airlines Inc.,5,8,639,-0.53,-3.88,3013.0,3862.0
Alaska Airlines Inc.,5,9,500,1.71,-0.08,3162.0,4239.0
Alaska Airlines Inc.,5,10,527,1.89,-0.51,3617.0,4306.0
Alaska Airlines Inc.,5,11,558,0.06,-5.24,2962.0,3499.0
Alaska Airlines Inc.,5,12,436,5.24,1.45,4234.0,4373.0
Alaska Airlines Inc.,5,13,440,3.47,1.05,3439.0,4035.0
Alaska Airlines Inc.,5,14,367,4.21,1.56,3239.0,3496.0
Alaska Airlines Inc.,5,15,492,1.41,-0.61,3210.0,3475.0
Alaska Airlines Inc.,5,16,355,2.48,-3.98,2672.0,2731.0
Alaska Airlines Inc.,5,17,578,4.53,1.12,5206.0,5823.0
Alaska Airlines Inc.,5,18,510,6.91,3.01,5746.0,6110.0
Alaska Airlines Inc.,5,19,487,4.97,0.52,4998.0,4731.0
Alaska Airlines Inc.,5,20,306,4.41,0.08,3227.0,3147.0
Alaska Airlines Inc.,5,21,318,5.30,1.26,2729.0,2812.0
Alaska Airlines Inc.,5,22,158,3.62,2.79,1322.0,1670.0
Alaska Airlines Inc.,5,23,122,4.66,-0.75,1005.0,910.0
Alaska Airlines Inc.,6,0,48,1.40,-6.94,280.0,209.0
Alaska Airlines Inc.,6,1,27,3.59,3.07,293.0,399.0
Alaska Airlines Inc.,6,2,23,-2.00,-5.35,115.0,91.0
Alaska Airlines Inc.,6,3,3,-12.33,-22.33,0.0,0.0
Alaska Airlines Inc.,6,4,9,-10.00,-12.44,0.0,5.0
Alaska Airlines Inc.,6,5,100,-2.73,-5.55,418.0,477.0
Alaska Airlines Inc.,6,6,496,0.06,-3.79,2552.0,3119.0
Alaska Airlines Inc.,6,7,832,1.67,-2.72,5091.0,6023.0
Alaska Airlines Inc.,6,8,677,5.25,3.83,6543.0,7997.0
Alaska Airlines Inc.,6,9,537,5.10,1.60,4981.0,5710.0
Alaska Airlines Inc.,6,10,534,6.36,4.31,5517.0,6143.0
Alaska Airlines Inc.,6,11,601,5.73,2.29,5936.0,6365.0
Alaska Airlines Inc.,6,12,495,7.55,4.49,5783.0,5853.0
Alaska Airlines Inc.,6,13,495,6.31,3.14,5190.0,5406.0
Alaska Airlines Inc.,6,14,381,5.99,4.34,3879.0,4122.0
Alaska Airlines Inc.,6,15,530,4.85,2.47,4746.0,5014.0
Alaska Airlines Inc.,6,16,393,9.39,5.52,5312.0,5396.0
Alaska Airlines Inc.,6,17,637,9.36,6.44,8465.0,9091.0
Alaska Airlines Inc.,6,18,523,6.71,2.48,5577.0,5681.0
Alaska Airlines Inc.,6,19,576,7.98,4.63,6766.0,6982.0
Alaska Airlines Inc.,6,20,325,4.26,1.05,3043.0,3184.0
Alaska Airlines Inc.,6,21,311,10.46,6.47,4156.0,3990.0
Alaska Airlines Inc.,6,22,180,6.12,2.15,1730.0,1898.0
Alaska Airlines Inc.,6,23,127,5.89,2.09,1220.0,1185.0
Alaska Airlines Inc.,7,0,64,0.58,-6.48,356.0,356.0
Alaska Airlines Inc.,7,1,38,-6.24,-6.61,55.0,95.0
Alaska Airlines Inc.,7,2,29,-2.48,-2.34,59.0,85.0
Alaska Airlines Inc.,7,3,4,-9.50,-16.25,0.0,0.0
Alaska Airlines Inc.,7,5,121,-3.85,-8.19,336.0,395.0
Alaska Airlines Inc.,7,6,494,-0.22,-5.36,2461.0,2600.0
Alaska Airlines Inc.,7,7,874,2.39,-2.67,5813.0,6351.0
Alaska Airlines Inc.,7,8,617,4.03,1.65,5347.0,6303.0
Alaska Airlines Inc.,7,9,644,3.67,0.28,5237.0,6353.0
Alaska Airlines Inc.,7,10,556,4.75,1.66,4981.0,5352.0
Alaska Airlines Inc.,7,11,549,8.37,4.23,6897.0,7217.0
Alaska Airlines Inc.,7,12,484,5.26,1.87,4652.0,4697.0
Alaska Airlines Inc.,7,13,490,6.91,3.22,5281.0,5471.0
Alaska Airlines Inc.,7,14,422,5.27,2.27,3949.0,4048.0
Alaska Airlines Inc.,7,15,564,5.00,1.04,5243.0,5241.0
Alaska Airlines Inc.,7,16,462,7.93,4.92,5640.0,6308.0
Alaska Airlines Inc.,7,17,676,7.66,4.28,8038.0,8613.0
Alaska Airlines Inc.,7,18,525,7.51,4.45,5958.0,6176.0
Alaska Airlines Inc.,7,19,591,8.73,5.19,7634.0,7694.0
Alaska Airlines Inc.,7,20,343,2.19,-2.43,2566.0,2514.0
Alaska Airlines Inc.,7,21,360,8.07,2.75,4161.0,3976.0
Alaska Airlines Inc.,7,22,197,7.02,2.58,2078.0,1952.0
Alaska Airlines Inc.,7,23,207,6.41,-0.66,2154.0,1815.0
Alaska Airlines Inc.,8,0,72,1.51,-3.86,454.0,445.0
Alaska Airlines Inc.,8,1,31,-3.52,-10.26,99.0,134.0
Alaska Airlines Inc.,8,2,29,-2.10,-10.38,128.0,92.0
Alaska Airlines Inc.,8,3,6,-5.50,-9.17,20.0,15.0
Alaska Airlines Inc.,8,4,2,-8.00,16.50,0.0,33.0
Alaska Airlines Inc.,8,5,117,-1.83,-2.74,449.0,652.0
Alaska Airlines Inc.,8,6,560,-0.14,-4.38,3052.0,3449.0
Alaska Airlines Inc.,8,7,910,1.02,-2.82,5403.0,6411.0
Alaska Airlines Inc.,8,8,672,1.55,0.04,4623.0,5776.0
Alaska Airlines Inc.,8,9,730,4.08,1.65,6152.0,7343.0
Alaska Airlines Inc.,8,10,581,6.15,4.75,5952.0,6647.0
Alaska Airlines Inc.,8,11,651,5.22,2.64,6163.0,6597.0
Alaska Airlines Inc.,8,12,474,8.19,6.55,5412.0,5887.0
Alaska Airlines Inc.,8,13,602,6.72,4.49,6396.0,7054.0
Alaska Airlines Inc.,8,14,407,5.30,3.33,3928.0,4263.0
Alaska Airlines Inc.,8,15,590,6.41,4.18,6173.0,6516.0
Alaska Airlines Inc.,8,16,411,5.25,1.86,4056.0,4513.0
Alaska Airlines Inc.,8,17,749,9.47,6.92,10514.0,10985.0
Alaska Airlines Inc.,8,18,550,8.83,5.45,7006.0,7263.0
Alaska Airlines Inc.,8,19,629,9.16,7.29,8525.0,9150.0
Alaska Airlines Inc.,8,20,351,5.85,1.85,3841.0,3883.0
Alaska Airlines Inc.,8,21,396,4.75,-0.14,3419.0,3304.0
Alaska Airlines Inc.,8,22,202,4.56,2.57,1684.0,1864.0
Alaska Airlines Inc.,8,23,192,2.30,-1.04,1316.0,1658.0
Alaska Airlines Inc.,9,0,29,3.66,-5.97,201.0,152.0
Alaska Airlines Inc.,9,1,18,3.17,-2.28,150.0,116.0
Alaska Airlines Inc.,9,2,12,1.42,5.67,64.0,91.0
Alaska Airlines Inc.,9,3,10,-0.50,5.10,33.0,85.0
Alaska Airlines Inc.,9,4,4,-6.50,-12.75,0.0,0.0
Alaska Airlines Inc.,9,5,88,-4.84,-2.32,161.0,423.0
Alaska Airlines Inc.,9,6,430,-2.73,-6.29,1454.0,1913.0
Alaska Airlines Inc.,9,7,650,-0.48,-4.92,3463.0,3985.0
Alaska Airlines Inc.,9,8,432,0.33,-4.12,2443.0,2852.0
Alaska Airlines Inc.,9,9,418,2.19,-2.02,2964.0,3388.0
Alaska Airlines Inc.,9,10,431,2.62,0.35,3156.0,3916.0
Alaska Airlines Inc.,9,11,475,3.65,0.69,3978.0,4196.0
Alaska Airlines Inc.,9,12,364,3.19,-0.36,3107.0,3252.0
Alaska Airlines Inc.,9,13,395,2.87,-1.20,3251.0,3196.0
Alaska Airlines Inc.,9,14,299,0.52,-2.54,1820.0,2087.0
Alaska Airlines Inc.,9,15,411,2.37,-0.35,3044.0,3297.0
Alaska Airlines Inc.,9,16,310,2.16,-2.93,2213.0,2312.0
Alaska Airlines Inc.,9,17,577,2.79,-1.38,4819.0,5155.0
Alaska Airlines Inc.,9,18,413,4.57,0.83,3955.0,4112.0
Alaska Airlines Inc.,9,19,432,4.98,3.00,4473.0,4619.0
Alaska Airlines Inc.,9,20,235,4.42,0.68,2313.0,2269.0
Alaska Airlines Inc.,9,21,248,3.93,0.25,2061.0,2099.0
Alaska Airlines Inc.,9,22,110,0.42,-3.13,657.0,790.0
Alaska Airlines Inc.,9,23,89,-2.49,-7.74,242.0,350.0
Alaska Airlines Inc.,10,0,24,-3.04,-15.63,34.0,50.0
Alaska Airlines Inc.,10,1,32,2.09,-4.09,209.0,191.0
Alaska Airlines Inc.,10,2,8,6.75,9.88,89.0,128.0
Alaska Airlines Inc.,10,3,2,-10.00,-14.00,0.0,0.0
Alaska Airlines Inc.,10,4,2,-4.00,-5.50,0.0,0.0
Alaska Airlines Inc.,10,5,73,-5.26,-6.74,144.0,268.0
Alaska Airlines Inc.,10,6,414,-0.46,-3.75,2308.0,2861.0
Alaska Airlines Inc.,10,7,732,-1.11,-7.33,3057.0,3743.0
Alaska Airlines Inc.,10,8,494,0.20,-3.63,2775.0,3370.0
Alaska Airlines Inc.,10,9,459,2.24,-0.88,3274.0,4115.0
Alaska Airlines Inc.,10,10,478,1.83,-1.94,3215.0,3353.0
Alaska Airlines Inc.,10,11,491,1.64,-4.47,3177.0,3306.0
Alaska Airlines Inc.,10,12,341,4.23,-1.67,3325.0,3151.0
Alaska Airlines Inc.,10,13,393,4.54,0.10,3742.0,3675.0
Alaska Airlines Inc.,10,14,327,5.49,0.65,3437.0,3557.0
Alaska Airlines Inc.,10,15,458,4.52,2.20,4394.0,4647.0
Alaska Airlines Inc.,10,16,301,0.32,-5.80,1761.0,1903.0
Alaska Airlines Inc.,10,17,590,2.14,-4.59,4255.0,4419.0
Alaska Airlines Inc.,10,18,405,4.66,-0.30,3926.0,3843.0
Alaska Airlines Inc.,10,19,435,4.69,0.80,4140.0,4330.0
Alaska Airlines Inc.,10,20,215,5.01,-1.67,2342.0,1952.0
Alaska Airlines Inc.,10,21,241,4.66,0.70,2086.0,2124.0
Alaska Airlines Inc.,10,22,85,2.27,-5.16,643.0,468.0
Alaska Airlines Inc.,10,23,108,-2.28,-6.95,317.0,395.0
Alaska Airlines Inc.,11,0,23,1.22,-6.91,133.0,104.0
Alaska Airlines Inc.,11,1,21,-2.29,-8.76,85.0,118.0
Alaska Airlines Inc.,11,2,10,5.80,8.90,97.0,125.0
Alaska Airlines Inc.,11,3,4,0.50,-4.50,16.0,17.0
Alaska Airlines Inc.,11,4,6,0.00,9.50,9.0,81.0
Alaska Airlines Inc.,11,5,61,-3.79,-2.85,251.0,308.0
Alaska Airlines Inc.,11,6,404,-2.19,-4.67,1459.0,2193.0
Alaska Airlines Inc.,11,7,721,0.20,-3.48,3970.0,5493.0
Alaska Airlines Inc.,11,8,501,5.94,3.83,5120.0,6204.0
Alaska Airlines Inc.,11,9,451,4.60,0.80,3998.0,4680.0
Alaska Airlines Inc.,11,10,398,3.61,-0.17,3298.0,3848.0
Alaska Airlines Inc.,11,11,431,4.62,0.39,3908.0,4088.0
Alaska Airlines Inc.,11,12,268,3.22,-1.11,2170.0,2173.0
Alaska Airlines Inc.,11,13,345,4.36,1.99,3248.0,3671.0
Alaska Airlines Inc.,11,14,305,3.75,-0.16,2511.0,2632.0
Alaska Airlines Inc.,11,15,409,2.63,0.64,3240.0,3798.0
Alaska Airlines Inc.,11,16,327,5.69,0.81,3550.0,3615.0
Alaska Airlines Inc.,11,17,580,5.20,1.50,5897.0,6548.0
Alaska Airlines Inc.,11,18,383,4.03,0.96,3449.0,3949.0
Alaska Airlines Inc.,11,19,347,5.61,1.03,3719.0,3756.0
Alaska Airlines Inc.,11,20,218,1.10,-3.20,1456.0,1529.0
Alaska Airlines Inc.,11,21,279,4.23,-0.02,2260.0,2302.0
Alaska Airlines Inc.,11,22,114,4.03,-3.19,1030.0,900.0
Alaska Airlines Inc.,11,23,129,-0.44,-4.42,726.0,884.0
Alaska Airlines Inc.,12,0,25,13.64,1.64,391.0,330.0
Alaska Airlines Inc.,12,1,29,28.24,24.10,933.0,928.0
Alaska Airlines Inc.,12,2,10,27.40,15.70,288.0,268.0
Alaska Airlines Inc.,12,3,1,-9.00,-5.00,0.0,0.0
Alaska Airlines Inc.,12,4,6,6.17,-2.17,59.0,29.0
Alaska Airlines Inc.,12,5,65,0.68,1.43,327.0,497.0
Alaska Airlines Inc.,12,6,392,2.25,0.98,2706.0,3818.0
Alaska Airlines Inc.,12,7,682,6.93,3.88,7449.0,9244.0
Alaska Airlines Inc.,12,8,485,10.90,8.40,7010.0,8310.0
Alaska Airlines Inc.,12,9,432,6.24,3.19,4571.0,5759.0
Alaska Airlines Inc.,12,10,409,8.14,4.96,4989.0,5888.0
Alaska Airlines Inc.,12,11,437,12.35,7.67,7084.0,7031.0
Alaska Airlines Inc.,12,12,285,14.82,11.26,5269.0,5650.0
Alaska Airlines Inc.,12,13,387,13.24,10.85,6741.0,7313.0
Alaska Airlines Inc.,12,14,301,17.75,13.10,6441.0,6385.0
Alaska Airlines Inc.,12,15,420,9.33,6.42,5811.0,5970.0
Alaska Airlines Inc.,12,16,380,16.94,12.41,8012.0,8139.0
Alaska Airlines Inc.,12,17,546,11.88,7.73,8956.0,9576.0
Alaska Airlines Inc.,12,18,398,15.02,12.05,7543.0,7806.0
Alaska Airlines Inc.,12,19,390,13.86,11.64,6995.0,7796.0
Alaska Airlines Inc.,12,20,233,12.52,10.55,3934.0,4157.0
Alaska Airlines Inc.,12,21,226,21.08,18.54,5325.0,5755.0
Alaska Airlines Inc.,12,22,108,14.24,11.20,2000.0,2211.0
Alaska Airlines Inc.,12,23,142,12.93,6.11,2368.0,2344.0
Allegiant Air,1,6,209,7.40,5.87,2740.0,3155.0
Allegiant Air,1,7,282,2.22,1.68,2356.0,3362.0
Allegiant Air,1,8,245,10.20,8.98,3944.0,4456.0
Allegiant Air,1,9,200,11.25,11.30,3515.0,3837.0
Allegiant Air,1,10,261,6.38,6.30,3160.0,3727.0
Allegiant Air,1,11,242,6.91,6.43,2926.0,3427.0
Allegiant Air,1,12,260,9.64,8.52,3942.0,4309.0
Allegiant Air,1,13,241,7.71,5.53,3023.0,3242.0
Allegiant Air,1,14,275,12.04,10.19,4710.0,4798.0
Allegiant Air,1,15,329,12.19,9.92,5532.0,5640.0
Allegiant Air,1,16,235,11.96,11.43,4008.0,4264.0
Allegiant Air,1,17,213,20.87,17.77,5502.0,5584.0
Allegiant Air,1,18,204,10.97,10.71,3313.0,3833.0
Allegiant Air,1,19,153,20.25,19.27,3809.0,3997.0
Allegiant Air,1,20,161,23.09,19.72,4584.0,4695.0
Allegiant Air,1,21,114,7.55,3.33,1637.0,1614.0
Allegiant Air,1,22,38,35.37,33.53,1591.0,1666.0
Allegiant Air,1,23,5,0.00,-32.60,0.0,0.0
Allegiant Air,2,6,260,-0.21,-2.41,1445.0,1916.0
Allegiant Air,2,7,283,6.52,5.61,3553.0,4400.0
Allegiant Air,2,8,279,10.01,9.94,4604.0,5282.0
Allegiant Air,2,9,255,8.08,9.60,3698.0,4514.0
Allegiant Air,2,10,264,10.14,8.68,4148.0,4558.0
Allegiant Air,2,11,298,9.89,10.68,4546.0,5405.0
Allegiant Air,2,12,256,14.21,13.54,4921.0,5377.0
Allegiant Air,2,13,245,11.44,10.29,3996.0,4335.0
Allegiant Air,2,14,287,11.30,10.41,4590.0,5088.0
Allegiant Air,2,15,306,10.81,9.90,4821.0,5145.0
Allegiant Air,2,16,233,14.90,13.12,4479.0,4534.0
Allegiant Air,2,17,219,11.99,10.26,3703.0,3876.0
Allegiant Air,2,18,245,22.12,21.15,6555.0,6933.0
Allegiant Air,2,19,200,19.65,16.69,4795.0,4826.0
Allegiant Air,2,20,171,20.06,15.21,4348.0,4168.0
Allegiant Air,2,21,150,9.64,6.84,2285.0,2365.0
Allegiant Air,2,22,38,7.03,5.29,542.0,525.0
Allegiant Air,2,23,4,26.00,10.00,122.0,82.0
Allegiant Air,3,6,416,-1.63,-2.95,1557.0,2232.0
Allegiant Air,3,7,411,0.71,-0.41,2980.0,3846.0
Allegiant Air,3,8,340,5.36,6.99,3948.0,5097.0
Allegiant Air,3,9,311,2.08,2.93,2566.0,3322.0
Allegiant Air,3,10,332,6.15,8.13,3913.0,5163.0
Allegiant Air,3,11,311,10.25,11.44,4876.0,5641.0
Allegiant Air,3,12,326,5.10,5.71,3556.0,4089.0
Allegiant Air,3,13,343,9.76,9.99,5089.0,5723.0
Allegiant Air,3,14,378,12.18,12.58,6421.0,7173.0
Allegiant Air,3,15,471,17.58,17.54,10321.0,11221.0
Allegiant Air,3,16,299,22.45,21.00,8128.0,8173.0
Allegiant Air,3,17,324,18.05,18.63,7203.0,7914.0
Allegiant Air,3,18,322,24.31,23.59,9254.0,9651.0
Allegiant Air,3,19,205,13.45,11.81,3971.0,4093.0
Allegiant Air,3,20,232,23.05,21.14,6692.0,6723.0
Allegiant Air,3,21,248,29.22,26.46,8566.0,8520.0
Allegiant Air,3,22,67,9.72,11.97,1065.0,1276.0
Allegiant Air,3,23,16,-5.56,-24.19,36.0,47.0
Allegiant Air,4,6,271,2.61,1.07,1858.0,2321.0
Allegiant Air,4,7,329,2.22,-0.19,2411.0,2603.0
Allegiant Air,4,8,264,2.37,2.32,2187.0,2660.0
Allegiant Air,4,9,285,4.78,5.33,2997.0,3730.0
Allegiant Air,4,10,257,8.48,9.60,3432.0,4192.0
Allegiant Air,4,11,275,15.11,17.69,5413.0,6508.0
Allegiant Air,4,12,284,15.88,15.61,5853.0,6360.0
Allegiant Air,4,13,228,13.78,13.41,4141.0,4457.0
Allegiant Air,4,14,295,17.34,17.33,6295.0,6701.0
Allegiant Air,4,15,318,17.88,17.72,6708.0,7217.0
Allegiant Air,4,16,230,25.52,25.45,6709.0,7086.0
Allegiant Air,4,17,268,25.48,24.32,7968.0,8198.0
Allegiant Air,4,18,214,20.22,18.14,5165.0,5148.0
Allegiant Air,4,19,168,36.84,34.21,6782.0,6740.0
Allegiant Air,4,20,175,17.93,14.81,3987.0,4043.0
Allegiant Air,4,21,172,35.73,33.63,7028.0,7181.0
Allegiant Air,4,22,42,14.67,9.98,799.0,727.0
Allegiant Air,4,23,14,-1.36,-3.00,59.0,108.0
Allegiant Air,5,6,283,3.20,0.76,2166.0,2458.0
Allegiant Air,5,7,319,-2.22,-4.27,1073.0,1373.0
Allegiant Air,5,8,263,0.31,-1.28,1718.0,1896.0
Allegiant Air,5,9,339,3.03,1.72,3030.0,3426.0
Allegiant Air,5,10,269,5.13,3.43,3006.0,3250.0
Allegiant Air,5,11,262,14.47,12.74,5158.0,5333.0
Allegiant Air,5,12,293,7.74,7.08,3721.0,3960.0
Allegiant Air,5,13,255,7.03,6.38,2988.0,3342.0
Allegiant Air,5,14,290,10.60,11.06,4393.0,5094.0
Allegiant Air,5,15,328,12.90,12.45,5664.0,6108.0
Allegiant Air,5,16,263,15.12,15.87,5115.0,5620.0
Allegiant Air,5,17,265,14.65,13.73,5111.0,5364.0
Allegiant Air,5,18,221,21.26,19.72,5477.0,5575.0
Allegiant Air,5,19,163,17.80,15.93,3581.0,3631.0
Allegiant Air,5,20,173,26.04,23.68,5325.0,5262.0
Allegiant Air,5,21,147,23.97,20.60,4085.0,4065.0
Allegiant Air,5,22,66,30.35,27.02,2302.0,2213.0
Allegiant Air,5,23,11,10.91,7.09,185.0,181.0
Allegiant Air,6,6,513,1.91,-0.41,3407.0,3851.0
Allegiant Air,6,7,323,5.12,4.42,3220.0,3776.0
Allegiant Air,6,8,371,4.93,5.22,3927.0,4555.0
Allegiant Air,6,9,356,10.88,10.27,5726.0,5999.0
Allegiant Air,6,10,345,6.78,7.84,4203.0,4878.0
Allegiant Air,6,11,333,12.40,14.36,5516.0,6567.0
Allegiant Air,6,12,392,13.93,15.68,7043.0,8192.0
Allegiant Air,6,13,348,17.90,19.39,7382.0,8473.0
Allegiant Air,6,14,387,19.14,21.53,8693.0,10162.0
Allegiant Air,6,15,363,25.82,26.60,10574.0,11508.0
Allegiant Air,6,16,329,21.39,23.23,8105.0,9193.0
